N,sample_num,time_ns
50,0,155200
50,1,45300
50,2,46300
50,3,49800
50,4,53300
50,5,50600
50,6,109900
50,7,125100
50,8,75600
50,9,61300
100,0,91400
100,1,77300
100,2,82400
100,3,60800
100,4,60000
100,5,59800
100,6,60500
100,7,73100
100,8,58200
100,9,40400
500,0,268200
500,1,782900
500,2,428400
500,3,439400
500,4,392500
500,5,418800
500,6,373500
500,7,409600
500,8,369400
500,9,366000
1000,0,809100
1000,1,788100
1000,2,831700
1000,3,831900
1000,4,742800
1000,5,758700
1000,6,747200
1000,7,555100
1000,8,411700
1000,9,459400
5000,0,2360900
5000,1,2483900
5000,2,3096700
5000,3,3488300
5000,4,3335000
5000,5,2689700
5000,6,2157000
5000,7,2092100
5000,8,3296500
5000,9,3132900
10000,0,5117500
10000,1,5923700
10000,2,4358800
10000,3,3790400
10000,4,4301300
10000,5,3197800
10000,6,3190400
10000,7,7137700
10000,8,2806100
10000,9,2520200
